firm_name,website_url,organic_traffic,organic_traffic_rank,keywords_top10,keywords_top10_rank,domain_rating,domain_rating_rank,referring_domains,referring_domains_rank,mobile_speed,desktop_speed,google_rating,total_reviews,one_star_last_3_months,keyword1_name,keyword1_traffic,keyword1_rank,keyword2_name,keyword2_traffic,keyword2_rank,keyword3_name,keyword3_traffic,keyword3_rank,keyword4_name,keyword4_traffic,keyword4_rank,keyword5_name,keyword5_traffic,keyword5_rank,review1_text,review1_date,review1_reviewer,review2_text,review2_date,review2_reviewer,review3_text,review3_date,review3_reviewer
DiPasquale Moore,dmlawusa.com,19975,9,1528,8,39,20,880,18,46,86,4.7,4527,24,auto accident lawyer near me,1597,1,dipasquale moore,1520,1,accident attorneys,992,1,mike dipasquale,800,1,dm injury law,800,1,"Great firm, just horrible communication. Will wait for 2 months for response most occasions. Hire more case managers before lawyers.",2025-07-24T17:18:00.696Z,dan mick,"Holy cow what a journey it’s been with DM Law.. and unfortunately an awful one. I was t-boned driving for an Amazon DSP that lead to 7 bulging discs. I couldn’t live on my AWW so I became homeless. When I started my case with DM Law I was represented by Adam B. 3 or so months later, I’m told through the case status app, my case is being reassigned to Cory O. Painful…. VERY Painful experience (no pun intended) with this man. No fight, not an ounce of care, just an absolutely BRUTAL experience. It’s such a bad look when your client gets to the point, they’re saying they’re struggling and need help.. and your client receives the silent treatment… my body has taken a MASSIVE hit.. from the lack of care… then as time goes on with more poor and silent representation.. a message is sent stating.. he’s no longer with the Firm…. DM Law I would really appreciate a call, I’ve been bounced around like a damn toy.. been through 2 attorneys, continued symptoms, and the silent treatment.. I was told my settlement check has arrived at the firm but I have no idea what happened with Cory O. , when he officially wasn’t apart of the firm anymore, etc… the 25% payment out of my settlement really needs to be discussed and again I’d appreciate a call.. because I have SEVERAL other examples of POOR representation to share.. thanks.",2025-07-24T04:31:17.546Z,Brian,"Hope you’re not a woman looking for a lawyer. If so, I wouldn’t go with Kate Corwin-Long. Yikes.",2025-07-21T01:02:37.556Z,AM
Disparti Law Group,dispartilaw.com,26111,8,2616,3,43,13,1023,12,84,84,4.7,3191,9,disparti law group,1520,1,eye care product recall,777,5,how long does it take to die from sepsis,633,6,disparti,576,1,what is a snow squall,332,1,"They seem to have a problem with black women. I can't speak for the entire practice or everyone involved, but the person I spoke to for intake consultation was unwilling to listen and constantly interrupted me but then projected that I ""wasn't allowing him to speak"" when I calmly answered his questions. I wasn't the one interrupting him, it was the other way around. Every time that he had a question and I answered he then responded as if I was wrong for answering his question directly.
 
 He also indicated at several points that he had failed to understand what I had just explained to him. This prompted me to have to repeat myself more than once to clarify what he was getting incorrect (he repeated back his understanding that didn't align with what I described). He had indicated at one point that the audio quality/connection was bad, so maybe that was a reason why he couldn't follow what I was saying. Nevertheless, this combined with his interrupting me to ask questions and then becoming condescending and accusing me of interrupting him when I answered his questions (always allowing him to finish what he was saying before I started talking) makes me feel the behavior and interaction made working with them intractable. Not because of me, but because of his demeanor and attitude.
 
 Funnily enough I was trying to seek help for a racial discrimination case clearly outlined in written evidence in exchanges between myself and the HR department at my job. It was while discussing the racial discrimination aspect of the employment discrimination (which also included discriminatory action as retaliation for reporting about discrimination) on top of disability accommodations discrimination, that I ran into this odd behavior. At no point when describing the disability accommodations related problems did he exhibit this pattern: it only started after I tried talking about racial discrimination that happened at the company I had worked for.
 
 I don't think this company is a good place to go to if you're dealing with complex (multi-faceted) or racial cases. I am disappointed because it has a good reputation and I had high hopes. Again, I can't speak for everyone and am not trying to suggest that the entire practice/firm is bad, but the person I spoke to was unhelpful in these ways and left me with a bad impression.",2025-07-30T15:05:36.758Z,Violet Davis,"I will post my review after I speak with my attorney but right now.............
 I'm not happy😡",2025-07-24T22:35:37.679Z,Khadija Boyd,"I’ve had previous cases with them but my last case seems to have taken a bit of time,I feel like I’m not being updated about my case and everytime I call I feel like I’m being ignored,been leaving voicemails and the person who’s assigned to my case Alyssa is always acting like I’m a bother. Everytime i call I’m being told something different smh. I really believe they’ve gotten their portion and don’t care if I get mines or not.",2025-07-24T13:32:03.970Z,Kimberly Luellen
Douglas R. Beam P.A.,dougbeam.com,1258,56,188,50,37,22,515,35,58,98,4.8,64,0,doug beam,72,1,douglas r beam pa,56,1,double jeopardy movie,48,16,cast double jeopardy,41,1,female lawyers,38,1,,,,,,,,,
Drury Law Firm,drurylawfirm.com,4,105,1,103,2.2,104,71,97,95,99,N/A,N/A,0,chris kempworksi attorney,10,7,chris drury lawyer,9,1,chris morvillo lawyer,6,7,chris drury lawyer,2,4,miami cruise injury lawyer,1,1,,,,,,,,,
Ferrer Poirot Feller,lawyerworks.com,388,76,69,72,27,42,292,57,54,72,4.9,488,0,ferrer poirot & wansbrough,208,1,ferrer poirot feller,112,1,zoommax zapmax recall fda,59,1,ferrer poirot feller daniel,56,1,ferrer poirot wansbrough,32,1,,,,,,,,,
Francisco G. Medina Esq.,medinalaw.net,6,103,2,97,18,66,128,86,62,98,4.8,44,0,francisco medina,13,2,premises liability case examples,0,87,medina lawyer,0,31,houston wrongful death law firm,0,85,elements of a wrongful death claim,0,72,,,,,,,,,
Fried Goldberg,friedgoldberg.com,9675,14,347,36,41,19,711,26,72,99,5,185,0,truck accident attorney,526,6,best lawyers for truck accidents,211,1,commercial truck accident lawyer,188,3,fried goldberg,168,1,joe fried,168,1,,,,,,,,,
Goldblatt & Singer,stlinjurylaw.com,5251,27,536,26,25,53,422,41,42,72,4.9,563,1,goldblatt singer,800,1,fox goldblatt singer law firm,576,1,goldblatt and singer,472,1,goldblatt & singer,384,1,fox goldblatt,312,1,"I have had 2 cases with G+S. One case has been settled, but I can't get a response concerning the 2nd case. I've called and called asking for an update, a case filing number, and/or any information regarding the case. There's been no communication from anyone in months, the para or the lawyer. I've left countless messages with the receptionist for the attorney and left voicemail messages on the attorney handling the case voicemail. Yet, there hasn't been communication. What must I do? Hello, is anyone there??",2025-05-29T14:28:20.406Z,Able Noir,,,,,,
Goudarzi & Young,goudarziyounglaw.com,2795,35,228,46,18,66,243,66,55,85,4.8,191,0,goudarzi and young,472,1,18 wheeler accident lawyer,234,3,goudarzi & young,208,1,brent goudarzi,208,1,goudarzi & young llp,208,1,,,,,,,,,
Gruber Law Offices,gruber-law.com,12011,12,926,18,45,10,1309,9,89,98,4.7,1586,7,gruber law offices,1920,1,gruber law,1920,1,gruber,1920,1,gruber law offices milwaukee,1040,1,gruber law attorneys,472,1,A friend of mine called Gruber Wednesday. They said they would call her back. Never did.,2025-07-26T01:44:17.691Z,Troy Penney,Worst of the worst all those stupid commercials don't mean jack hupey and Abraham is the way to go,2025-07-21T09:20:37.430Z,Robert Hruska,"One call that's not all, bad service don't trust at any time , scooter accident wasn't successful, never called back , blaming the Police report , they got away ; point",2025-07-17T15:03:27.686Z,edith rodriguez
GWC Injury Lawyers,gwclaw.com,664,70,124,53,33,30,1345,8,59,94,4.7,466,2,gwc injury lawyers llc,256,1,gwc law,112,1,gwc attorneys,72,1,gwc lawyers,40,1,goldberg weisman cairo,40,1,,2025-07-21T21:29:14.564Z,Lorrie Elwood,"Workers comp case has me completely devoid of trust in competency of this firm. The way they explain expectations based on statutes is misleading, and their rush to find a settlement before diagnosis of issues following the accident is even complete are unconscionable. I’m sure my attorney, appearing professional and polite in every conversation we had, was following company mandated procedures, which makes the entire process more infuriating. I only discovered the formula for compensation had not been clearly described to me after I sat down and did the math in the settlement contract and realized it did not work out to what the formula as I understood it should. Miscommunications may have resulted from me missing or miscommunication understanding points, but if I have any hint that may have happened I ask a ton of questions, and it should not be my job as a layman to catch the things a layman wouldn’t know they misunderstood.
 
 I also find it difficult to believe there was no way to incorporate the manifestation of neurological symptoms (seizures, difficulty waking, chronic headaches, and many more) that were not previously present as part of the case, but I’m told they aren’t.
 
 Update: a partner named Harris called me and told me that he’s sorry the resolution wasn’t satisfactory for me, but that workers comp cases “aren’t all sunshine and roses,” which is a REALLY disrespectful way to comment on the fact that I’m stuck with seizures and neurological problems and got no remedy for those portions of my injury",2025-05-16T14:05:49.454Z,David Zabriskie,,,
Haney Law,haneylawpllc.com,0,110,1,103,0.9,110,62,105,74,97,5,17,0,haney law firm,1,1,the haney law firm,0,14,haney law firm,0,10,haney law firm,0,27,N/A,N/A,N/A,,,,,,,,,
Holder Susan Slusher,midmissourilawyers.com,787,65,76,65,6,87,171,79,75,96,4.9,43,0,holder susan slusher,72,1,susan holder,35,3,holder susan slusher llc,32,1,bogdan susan columbia mo,22,1,bogdan susan,22,1,,,,,,,,,
Hughes & Coleman Injury Lawyers,hughesandcoleman.com,6247,23,821,20,45,10,907,16,48,60,4.7,2989,6,hughes and coleman,1280,1,hughes & coleman injury lawyers,704,1,injury attorney in nashville,360,1,nashville personal injury lawyer,250,1,personal injury lawyer nashville,250,1,Not everyone who walks in your door needs your help at that moment. However if I ever need a lawyer I will never use you nor refer anyone. I came in today and the receptionist was completely rude for no reason at all.,2025-07-22T22:02:15.393Z,Tonya Oliver,These people failed me. They advertise that if you've been hurt in a wreck that they will fight for you. I was injured financially. It's not a physical injury but it is still an injury. Good way to false advertise by avoiding specifics. I'm disabled and live on SSI. My car was totalled but they refused to help me. It's been over a year since the accident and I still have not fully recovered financially because I was forced to fix my car myself with the purchase of parts and getting a friend to help me rebuild the front end of my car. It still looks bad and needs more work. Now my friend is unable to help anymore and it takes money I don't have to fix the only car I have.,2025-07-17T22:12:08.707Z,Billy Thomas,Disappointing,2025-06-29T11:11:30.286Z,Josephine Ross
Iron Resolution Services,ironresolutionsvcs.com,7,101,1,103,0.6,113,46,111,59,98,N/A,N/A,0,redwood resolution services,0,83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
Jeffcoat Criminal Defense Lawyers ,carolinadefenselawyers.com,1963,46,364,34,16,70,249,64,46,86,5,524,1,columbia sc,1966,1,columbia south carolina,1075,1,hotels columbia sc,976,1,hotels in columbia sc,435,1,col sc,173,1,,2025-07-04T18:24:57.485Z,Bud Stoddard,,,,,,
Jim Adler & Associates,jimadler.com,61731,3,1188,15,39,20,987,13,63,74,4.6,8239,35,jim adler,7920,1,jim adler and associates,4320,1,accident lawyer,2714,3,the texas hammer,1920,1,truck accident lawyer,1628,7,Worst experience I ever had they don’t want to do the work they just want you to run in circles so they can collect the check but if they run in to a small problem they want to drop the whole case even when you got video of the incident proving the other party passed the red light so don’t wasn’t your time go somewhere else before they lose your whole case,2025-07-24T21:18:06.734Z,BigBoss Lexo,"Took over a year for Jim Adler to get their act together! It is still ongoing! My mother and brother were hit by a drunk driver on April 6th, 2024 and Jim Adler was contacted the very next day. They hardly kept any communication. They just now got my mother's insurance check out to her (July 7th, 2025). She had to constantly call and try to track where they were in the process. Not to mention that they were constantly rude on the phone. They told her that they were going to get my brother's check out within a week. It is now July 21st, and there is still no end in sight when it comes to dealing with these people. Avoid these people. Go elsewhere.",2025-07-22T02:49:57.588Z,Kylee Lenberg,"Currently very unhappy with my service I was in an auto accident May 2 and I have yet to talk to my case manager. It is now July 19. I have left voicemails for five separate people, Robert, Selena, Matthias, Danielle and one other person no one has responded to my calls. Do not use this law office for anything whatsoever",2025-07-18T21:14:46.635Z,Aubrey Bowlin
Jinks Crow Trial Lawyers,jinkscrow.com,614,71,49,76,7,86,106,90,70,95,4.9,134,0,who qualifies for the black farmers settlement,95,1,black farmers settlement,69,7,jinks crow,56,1,jinks crow union springs,32,1,jinks crow montgomery al,32,1,,,,,,,,,
Jody D. Peterman,valdostainjurylawyer.com,1250,57,74,66,6,87,112,88,100,99,4.9,130,0,law of romeo and juliet,210,1,attorney valdosta,178,1,romeo a n d juliet law,145,9,personal injury lawyers valdosta,96,1,jody peterman,88,1,,,,,,,,,
Kadzai Law Group,kadzailawgroup.com,1074,61,114,60,22,59,193,74,70,80,4.5,49,0,kadzai law group,56,1,first generation college student scholarships,46,3,are u turns illegal in illinois,13,1,attorney david,11,1,first generation scholarships,9,12,,,,,,,,,
Kaster Lynch Farrar & Ball,klfblaw.com,62,91,20,84,6,87,49,108,50,33,3.1,53,0,wesley ball,18,2,bill ogden,9,4,kyle farrar,5,2,kyle farrar attorney,5,2,bruce kaster,4,4,,,,,,,,,
Kaveny + Kroll Trial Lawyers,kavenykroll.com,135,84,22,83,16,70,215,71,50,95,5,13,0,kaveny kroll,40,1,jeffrey kroll attorney chicago,40,1,jeffrey kroll,12,1,jeff kroll,11,1,chicago spinal cord injury attorney,7,3,,,,,,,,,
Kenny Habetz Injury Law,gokenny.com,4745,28,548,25,29,39,276,60,95,98,5,261,0,lafayette personal injury lawyer,396,1,injury attorneys lafayette,316,1,lafayette car accident attorney,248,1,what does cte stand for,229,10,broken tailbone,188,10,,,,,,,,,
Kiefer & Kiefer,kieferandkiefer.com,960,62,79,64,26,49,236,69,75,99,5,647,0,accident lawyer new orleans,892,1,personal injury attorneys in new orleans louisiana,595,1,injury attorney new orleans la,595,1,new orleans car accident lawyer,471,1,personal injury attorney new orleans,396,1,,,,,,,,,
Laird Trial Law,lairdtriallaw.com,0,110,0,110,3.1,95,45,113,68,95,N/A,N/A,0,laird law,0,27,laird law firm,0,42,laird law firm.,0,41,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
Langdon & Emison,langdonemison.com,1610,51,205,48,36,27,770,24,91,99,4.7,38,0,langdon and emison,312,1,langdon & emison,208,1,langdon emison,168,1,reclining car seat,36,1,langdon law firm,24,1,,,,,,,,,
Law Firm of Lauren Winer-Beck,winerbecklaw.com,75,88,8,91,1.3,108,62,105,67,92,4.8,43,0,deceleration trauma,2,25,ssd ct,2,4,a bicyclist differs from a motorist,1,1,ross dress for less columbia photos,1,1,crosswalk accident cases,0,98,,,,,,,,,
Law Office of Joseph K. Plumbar,plumbarlaw.com,7,101,2,97,3,96,87,94,68,93,4.9,56,0,joseph plumbar,32,1,plumbar,4,2,black owned law firms in houston,3,1,plumbar,2,1,plumbar,2,10,,,,,,,,,
Law Office of Nhan Nguyen,westlooplaw.com,570,72,53,74,21,60,138,85,99,98,4.4,205,3,west loop law,136,1,westloop law,88,1,harris county probate court,69,5,best medical negligence lawyers,43,1,workplace injury lawyer,25,7,"Have a case from back in 3/30/2019!! After calling them repeatedly I just stopped because the people were always out of the office. I never directly talked to a lawyer. I haven’t received any update by mail, phone, or voicemail. 6 years is a little ridiculous and I want to know what happened. Don’t use them, they will wear you down and drag their feet. I went with them based on a friends recommendation but I’m telling you find someone else",2025-07-30T08:50:26.892Z,randy goldsmith,These lawyers only care about themselves and making money for themselves!!! They will push you to go to their doctors and your bill will go past the limit they can ask for and they won't even let you know when you've passed that limit! And on top of that I'm pretty sure they lied about how much my bill was to begin with. They shouldn't even be able to practice law!!! If I had the money the patience and the time I would have sued the law firm for malpractice that's how horrible they are!!!! I wish I would have used a different lawyer!!!!! DO NOT USE THIS LAW FIRM!!!!!,2025-06-19T22:05:12.787Z,Shannon Parker,"So far this law firm is TERRIBLE ! Not only do I have to continue to call them because they lack of communication . I have two recording of a person who goes by Yesenia lied informing me she was the ONLY PERSON IN CHARGE and NOBODY is above her . I wanted answers and it’s been almost a week the ATTORNEY has yet to contact my brother who was hurt terribly in the car accident. He lost his job due to his injuries and having to attend therapy. He has no phone because of no Source of income anymore And, as his big sister, it upsets me, knowing they have a settlement amount to offer, but still cannot Help with a small advance, check, which is not much (100-500$) Since he lost his home as well, and is currently staying with me. Hopefully a review would get his attorney to get on the ball and give answers . As for Yesenia She’s probably the worst person to handle anybody’s case . The least she could have done was returned the call to inform my brother his Attorney somehow it’s too busy to answer an email . At this point I’d say they are just as bad as Jim Adler and only want money . They seem to not care how bad my brother is doing with no home and can’t even give him a small check to get his phone back turned on .",2025-06-13T15:48:23.291Z,Emily Garcia
Law Offices of Barry G Doyle,accidentlawillinois.com,467,74,74,66,27,42,191,75,41,69,4.8,24,0,ignite medical resort lawsuit,42,2,bifurcated penis,31,9,scoop mattress,31,1,bed alarms for elderly,28,1,jerry chair,19,1,,,,,,,,,
Law Offices of Osvaldo Rodriguez,osvaldorodriguezlaw.com,50,92,2,97,4.6,92,238,68,53,70,4.4,7,0,osvaldo rodriguez,21,3,workers compensation attorney cicero,0,25,injury lawyer oak park,0,73,animal attack lawyer chicago,0,79,rodriguez law firm car accident injury lawyer,0,71,,,,,,,,,
Law Offices of Samer Habbas,habbaspilaw.com,8826,15,846,19,37,22,846,20,82,98,4.9,623,3,irvine injury lawyer,5505,1,injury attorney irvine ca,2455,1,irvine personal injury lawyer,1339,1,samer habbas & associates personal injury attorneys,1040,1,car crash lawyer irvine,992,1,"I reached out to Samer Habbas & Associates after a painful incident at a gym where I was injured due to faulty equipment and clear negligence. Instead of offering guidance or concern, I was told my case likely wouldn’t be worth enough for them to pursue.
 
 I understand that firms have criteria for the cases they take on but the way it was communicated made it clear that unless a case is worth a certain dollar amount, it’s simply not of interest to them. It felt more like a business transaction than a place advocating for justice or helping the injured.
 
 If you’re someone looking for compassion, advocacy, or even basic respect after being hurt, I’d suggest looking elsewhere. Disappointing experience.",2025-07-14T18:35:30.617Z,Amr B,"I have had the worst possible experience that any person could have dealing with this law firm. They were negligent in making sure they had obtained all of the medical bills before reaching a settlement agreement with the other person’s insurance company leaving a multiple thousand dollar bill unpaid. They then went to my insurance company to have this bill paid and have still not issued my payment and it has been a year and a half since the case began. I won’t bore all of you with the details and specifics, but I have pages upon pages of correspondence between myself and various members of their team where they do not have all of their information together, knowing what information is being sent And properly communicating with their client. DO NOT RECOMMEND",2025-06-26T23:13:55.574Z,Justin Tyler,They take forever paying u back and they tell u different things all the time when u ask about your money don't waste ur time with this,2025-05-28T14:52:01.059Z,Momo Orozco
Law Offices of Tzvetelina Boynovska,lawforimmigrants.com,0,110,0,110,14,76,139,84,100,100,4.7,43,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
